,CO,FR
2021-04-07,1913,0
2021-04-06,1266,8045
2021-04-05,867,10793
2021-04-04,1220,60922
2021-04-03,1571,19789
2021-04-02,1645,46677
2021-04-01,1604,50659
2021-03-31,1763,41907
2021-03-30,957,28323
2021-03-29,807,28604
2021-03-28,957,37014
2021-03-27,1295,42619
2021-03-26,1409,41869
2021-03-25,1373,45641
2021-03-24,1216,33389
2021-03-23,1370,24882
2021-03-22,304,37572
2021-03-21,802,30581
2021-03-20,1466,35345
2021-03-19,1782,35070
2021-03-18,1242,34998
2021-03-17,626,38501
2021-03-16,322,29975
2021-03-15,422,6471
2021-03-14,1215,26343
2021-03-13,1242,29759
2021-03-12,1291,25229
2021-03-11,955,27166
2021-03-10,1240,30303
2021-03-09,838,23302
2021-03-08,585,5327
2021-03-07,840,21825
2021-03-06,1108,23306
2021-03-05,1633,23507
2021-03-04,1351,25279
2021-03-03,1055,26788
2021-03-02,776,22857
2021-03-01,1536,4703
2021-02-28,841,19952
2021-02-27,1264,23996
2021-02-26,1521,25207
2021-02-25,1119,25403
2021-02-24,1168,31519
2021-02-23,1096,20064
2021-02-22,680,4646
2021-02-21,802,22046
2021-02-20,1117,22371
2021-02-19,1280,24116
2021-02-18,1241,22501
2021-02-17,1137,25018
2021-02-16,668,19590
2021-02-15,533,4376
2021-02-14,853,16546
2021-02-13,1209,21231
2021-02-12,2091,20701
2021-02-11,1722,21063
2021-02-10,751,25387
2021-02-09,934,18870
2021-02-08,987,4317
2021-02-07,1034,19715
2021-02-06,1541,20586
2021-02-05,1863,22139
2021-02-04,1584,23448
2021-02-03,1269,26362
2021-02-02,935,23337
2021-02-01,884,4347
2021-01-31,1163,19235
2021-01-30,1595,24392
2021-01-29,1722,22858
2021-01-28,1441,23770
2021-01-27,1638,26916
2021-01-26,1158,22086
2021-01-25,1177,4240
2021-01-24,1319,18436
2021-01-23,1958,23924
2021-01-22,1798,23292
2021-01-21,1983,22848
2021-01-20,1371,26784
2021-01-19,1685,23608
2021-01-18,1190,3736
2021-01-17,1498,16642
2021-01-16,2025,21406
2021-01-15,2281,21271
2021-01-14,2403,21228
2021-01-13,2438,23852
2021-01-12,1511,19752
2021-01-11,1677,3582
2021-01-10,2201,15944
2021-01-09,2837,20177
2021-01-08,3187,19814
2021-01-07,3473,21703
2021-01-06,2557,25379
2021-01-05,3458,20489
2021-01-04,2185,4022
2021-01-03,2078,12489
2021-01-02,2011,3466
2021-01-01,3064,19348
2020-12-31,3238,19927
2020-12-30,2451,26457
2020-12-29,1740,11395
2020-12-28,1650,2960
2020-12-27,1399,8822
2020-12-26,1430,3093
2020-12-25,2659,20262
2020-12-24,3030,21634
2020-12-23,2948,14929
2020-12-22,2516,11795
2020-12-21,2146,5797
2020-12-20,2292,12799
2020-12-19,2491,17565
2020-12-18,3693,15674
2020-12-17,3698,18254
2020-12-16,3334,17615
2020-12-15,2278,11532
2020-12-14,2911,3063
2020-12-13,2559,11533
2020-12-12,3961,13947
2020-12-11,4678,13406
2020-12-10,4649,13750
2020-12-09,3757,14595
2020-12-08,3971,13713
2020-12-07,4037,3411
2020-12-06,3234,11022
2020-12-05,5125,12923
2020-12-04,5013,11221
2020-12-03,6037,12696
2020-12-02,3862,14064
2020-12-01,4405,8083
2020-11-30,4133,4005
2020-11-29,3489,9784
2020-11-28,4330,12580
2020-11-27,4270,12459
2020-11-26,6053,13563
2020-11-25,4191,16282
2020-11-24,4150,9155
2020-11-23,3689,4452
2020-11-22,3921,13157
2020-11-21,6113,17881
2020-11-20,5765,22882
2020-11-19,6107,21150
2020-11-18,4650,28383
2020-11-17,4331,14524
2020-11-16,4296,11343
2020-11-15,4183,29165
2020-11-14,5196,34032
2020-11-13,6439,25731
2020-11-12,5197,35109
2020-11-11,3975,37816
2020-11-10,3890,24117
2020-11-09,3553,22092
2020-11-08,3017,40556
2020-11-07,3498,88790
2020-11-06,3463,62424
2020-11-05,3369,59984
2020-11-04,2928,42496
2020-11-03,2562,38268
2020-11-02,2237,54456
2020-11-01,2560,48227
2020-10-31,2924,35641
2020-10-30,2412,49215
2020-10-29,1806,47637
2020-10-28,1475,36437
2020-10-27,1433,33417
2020-10-26,2211,26771
2020-10-25,1689,52010
2020-10-24,1828,45422
2020-10-23,1350,42032
2020-10-22,1373,41622
2020-10-21,1267,26676
2020-10-20,1208,20468
2020-10-19,1072,13243
2020-10-18,933,29837
2020-10-17,1139,32427
2020-10-16,1312,25086
2020-10-15,1141,30621
2020-10-14,692,22591
2020-10-13,1048,12993
2020-10-12,576,8505
2020-10-11,819,16101
2020-10-10,1023,26896
2020-10-09,834,20339
2020-10-08,863,18129
2020-10-07,731,18746
2020-10-06,654,10489
2020-10-05,461,5084
2020-10-04,521,12565
2020-10-03,657,16972
2020-10-02,680,12148
2020-10-01,682,13970
2020-09-30,511,12845
2020-09-29,535,8051
2020-09-28,411,4070
2020-09-27,569,11123
2020-09-26,584,14412
2020-09-25,709,15797
2020-09-24,548,16096
2020-09-23,616,13072
2020-09-22,654,10008
2020-09-21,542,5298
2020-09-20,501,10569
2020-09-19,606,13498
2020-09-18,605,13215
2020-09-17,459,10593
2020-09-16,587,9784
2020-09-15,400,7852
2020-09-14,375,6158
2020-09-13,417,7183
2020-09-12,415,10561
2020-09-11,307,9406
2020-09-10,265,9843
2020-09-09,246,8577
2020-09-08,187,6544
2020-09-07,213,4203
2020-09-06,285,7071
2020-09-05,334,8550
2020-09-04,368,8975
2020-09-03,268,7157
2020-09-02,244,7017
2020-09-01,351,4982
2020-08-31,201,3082
2020-08-30,182,5413
2020-08-29,268,5453
2020-08-28,430,7379
2020-08-27,349,6111
2020-08-26,194,5429
2020-08-25,459,3304
2020-08-24,198,1955
2020-08-23,260,4897
2020-08-22,297,3602
2020-08-21,356,4586
2020-08-20,329,4771
2020-08-19,270,3776
2020-08-18,261,2238
2020-08-17,194,493
2020-08-16,338,3015
2020-08-15,300,3310
2020-08-14,319,2846
2020-08-13,463,2669
2020-08-12,315,2524
2020-08-11,402,1397
2020-08-10,379,785
2020-08-09,336,2034
2020-08-08,431,2035
2020-08-07,457,2288
2020-08-06,448,1604
2020-08-05,594,1695
2020-08-04,426,1039
2020-08-03,252,556
2020-08-02,449,2820
2020-08-01,458,0
2020-07-31,605,1346
2020-07-30,408,1377
2020-07-29,482,1392
2020-07-28,749,725
2020-07-27,229,514
2020-07-26,547,1018
2020-07-25,809,1019
2020-07-24,666,1130
2020-07-23,616,1062
2020-07-22,639,998
2020-07-21,493,584
2020-07-20,424,350
2020-07-19,354,865
2020-07-18,444,865
2020-07-17,618,836
2020-07-16,571,534
2020-07-15,469,416
2020-07-14,444,511
2020-07-13,329,288
2020-07-12,322,668
2020-07-11,400,669
2020-07-10,666,658
2020-07-09,409,621
2020-07-08,452,663
2020-07-07,407,475
2020-07-06,192,176
2020-07-05,199,639
2020-07-04,254,560
2020-07-03,260,582
2020-07-02,323,659
2020-07-01,314,918
2020-06-30,204,541
2020-06-29,204,280
2020-06-28,285,522
2020-06-27,226,522
2020-06-26,317,1588
2020-06-25,324,0
2020-06-24,262,81
2020-06-23,188,517
2020-06-22,166,373
2020-06-21,190,284
2020-06-20,162,641
2020-06-19,286,811
2020-06-18,228,467
2020-06-17,231,458
2020-06-16,143,344
2020-06-15,169,152
2020-06-14,113,407
2020-06-13,195,526
2020-06-12,175,726
2020-06-11,148,425
2020-06-10,152,545
2020-06-09,164,403
2020-06-08,182,211
2020-06-07,153,343
2020-06-06,233,579
2020-06-05,255,611
2020-06-04,300,767
2020-06-03,272,352
2020-06-02,211,0
2020-06-01,199,338
2020-05-31,280,257
2020-05-30,485,1828
2020-05-29,492,597
2020-05-28,354,3325
2020-05-27,202,191
2020-05-26,296,276
2020-05-25,95,358
2020-05-24,210,115
2020-05-23,477,250
2020-05-22,296,393
2020-05-21,394,318
2020-05-20,315,418
2020-05-19,280,524
2020-05-18,264,492
2020-05-17,305,120
2020-05-16,401,372
2020-05-15,394,563
2020-05-14,363,622
2020-05-13,318,507
2020-05-12,278,708
2020-05-11,176,456
2020-05-10,328,209
2020-05-09,548,433
2020-05-08,456,642
2020-05-07,541,629
2020-05-06,466,4183
2020-05-05,457,1104
2020-05-04,272,576
2020-05-03,410,308
2020-05-02,457,794
2020-05-01,484,604
2020-04-30,526,1139
2020-04-29,442,0
2020-04-28,437,1520
2020-04-27,438,3764
2020-04-26,473,461
2020-04-25,712,1537
2020-04-24,994,1773
2020-04-23,384,1653
2020-04-22,431,1827
2020-04-21,341,2667
2020-04-20,376,2051
2020-04-19,297,785
2020-04-18,386,2569
2020-04-17,372,405
2020-04-16,395,2641
2020-04-15,339,2633
2020-04-14,257,5497
2020-04-13,381,2673
2020-04-12,410,1613
2020-04-11,383,3114
2020-04-10,308,4342
2020-04-09,547,4286
2020-04-08,226,3881
2020-04-07,257,3777
2020-04-06,222,3912
2020-04-05,385,1873
2020-04-04,392,4267
2020-04-03,445,5233
2020-04-02,386,2116
2020-04-01,376,4861
2020-03-31,339,7578
2020-03-30,320,4376
2020-03-29,246,2599
2020-03-28,327,4611
2020-03-27,304,3809
2020-03-26,344,3922
2020-03-25,174,2929
2020-03-24,192,2448
2020-03-23,129,3838
2020-03-22,115,1559
2020-03-21,113,1847
2020-03-20,85,1617
2020-03-19,57,1861
2020-03-18,38,1404
2020-03-17,23,1097
2020-03-16,29,1210
2020-03-15,30,924
2020-03-14,24,838
2020-03-13,28,785
2020-03-12,0,595
2020-03-11,0,497
2020-03-10,0,372
2020-03-09,0,203
2020-03-08,0,260
2020-03-07,0,296
2020-03-06,0,230
2020-03-05,0,138
2020-03-04,0,73
2020-03-03,0,21
2020-03-02,0,61
2020-03-01,0,30
2020-02-29,0,43
2020-02-28,0,19
2020-02-27,0,20
2020-02-26,0,4
2020-02-25,0,2
2020-02-24,0,0
2020-02-23,0,0
2020-02-22,0,0
2020-02-21,0,0
2020-02-20,0,0
2020-02-19,0,0
2020-02-18,0,0
2020-02-17,0,0
2020-02-16,0,0
